Model,Accuracy,Accuracy_Std,Precision,Recall,F1-Score,ROC-AUC,Error_Rate,Execution_Time_s,TPR,TNR,FPR,FNR,TP,FN,FP,TN
10. Extra Trees,0.8782467532467532,0.0426178878522348,0.8543103448275862,0.922167487684729,0.88562148169349,0.9235355253212397,0.12175324675324684,3.1181437969207764,0.922167487684729,0.8321167883211679,0.1678832116788321,0.07746478873239436,131,11,23,114
05. SVM (Linear Kernel),0.8707792207792208,0.04781223112447643,0.8478329197684037,0.9150246305418719,0.8778146578782172,0.9084359605911331,0.12922077922077924,0.9535262584686279,0.9150246305418719,0.8248175182481752,0.17518248175182483,0.08450704225352113,130,12,24,113
01. Logistic Regression,0.8674025974025975,0.04732051245465502,0.8581259351348993,0.8938423645320197,0.873495917896195,0.9124022597544764,0.1325974025974025,0.9690732955932617,0.8938423645320197,0.8394160583941606,0.16058394160583941,0.1056338028169014,127,15,22,115
08. Quadratic Discriminant Analysis,0.8639610389610389,0.04569048229156437,0.8072280955392911,0.9645320197044335,0.8785440236362871,0.9264791357155889,0.13603896103896107,0.9773259162902832,0.9645320197044335,0.7591240875912408,0.24087591240875914,0.035211267605633804,137,5,33,104
09. Random Forest,0.8636363636363635,0.040798138551817575,0.8393697478991596,0.9078817733990148,0.871345153126429,0.9229283954961295,0.13636363636363646,3.4499893188476562,0.9078817733990148,0.8175182481751825,0.18248175182481752,0.09154929577464789,129,13,25,112
14. Bagging Classifier,0.8603246753246753,0.036084503808122795,0.8334577922077923,0.9078817733990148,0.8685554423815516,0.9198169976802981,0.13967532467532473,2.788424015045166,0.9078817733990148,0.8102189781021898,0.1897810218978102,0.09154929577464789,129,13,26,111
04. SVM (RBF Kernel),0.8531168831168833,0.05446136065460991,0.8440419350764179,0.8798029556650245,0.8596098011767518,0.9108566606719316,0.14688311688311673,0.9334812164306641,0.8798029556650245,0.8248175182481752,0.17518248175182483,0.11971830985915492,125,17,24,113
02. Ridge Classifier,0.8493506493506493,0.05521771869687631,0.8283743842364532,0.8938423645320196,0.8587701476563023,0.9044119946829307,0.1506493506493507,0.9028968811035156,0.8938423645320196,0.8029197080291971,0.19708029197080293,0.1056338028169014,127,15,27,110
07. Linear Discriminant Analysis,0.8493506493506493,0.05521771869687631,0.8283743842364532,0.8938423645320196,0.8587701476563023,0.9044119946829307,0.1506493506493507,0.9798815250396729,0.8938423645320196,0.8029197080291971,0.19708029197080293,0.1056338028169014,127,15,27,110
11. Gradient Boosting,0.846038961038961,0.04273960663571053,0.8162135700675256,0.9007389162561577,0.8554205229272723,0.9001293429249095,0.15396103896103897,2.889145612716675,0.9007389162561577,0.7883211678832117,0.2116788321167883,0.09859154929577464,128,14,29,108
13. AdaBoost,0.846038961038961,0.03964305657437311,0.8644610662686303,0.8310344827586207,0.845724947174392,0.9127850757161102,0.15396103896103897,3.2908058166503906,0.8310344827586207,0.8613138686131386,0.1386861313868613,0.16901408450704225,118,24,19,118
12. Hist Gradient Boosting,0.8387012987012987,0.04924261928509016,0.8273772204806689,0.8657635467980296,0.8453621334285402,0.8838155185445826,0.16129870129870127,2.903933048248291,0.8657635467980296,0.8102189781021898,0.1897810218978102,0.13380281690140844,123,19,26,111
06. K-Nearest Neighbors,0.8350649350649351,0.038396889632000664,0.7750138260432378,0.9573891625615764,0.855730837129489,0.9061061589386712,0.16493506493506493,1.2316501140594482,0.9573891625615764,0.708029197080292,0.291970802919708,0.04225352112676056,136,6,40,97
03. SGD Classifier,0.8209090909090909,0.07381509036911107,0.8096548704191182,0.8512315270935961,0.8283957509349585,0.8784013605442176,0.17909090909090908,0.9146790504455566,0.8512315270935961,0.7883211678832117,0.2116788321167883,0.14788732394366197,121,21,29,108
15. Multi-layer Perceptron,0.7887012987012987,0.06957646003881732,0.8092411674347157,0.7677339901477832,0.7840081791988103,0.861684846352334,0.21129870129870132,1.3901770114898682,0.7677339901477832,0.8102189781021898,0.1897810218978102,0.2323943661971831,109,33,26,111
